Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1835,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021108975.074	,2404.484,29.392,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2404.23,108241730,553.152,0.23,620.15,0.258,302.418,0.126,2223.549,0.925,0.182,0.0,17.754,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.439
0,4294967295,1836,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021111410.090	,2403.759,30.532,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2403.52,108310321,552.639,0.23,621.222,0.258,302.147,0.126,2221.518,0.924,0.182,0.0,17.622,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.53
0,4294967295,1837,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021113840.562	,2399.614,26.713,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2399.36,107989160,553.323,0.231,617.881,0.258,302.648,0.126,2220.044,0.925,0.182,0.0,17.749,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.408
0,4294967295,1838,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021116271.719	,2400.155,31.543,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2399.9,108155819,552.595,0.23,621.38,0.259,302.141,0.126,2217.486,0.924,0.182,0.0,17.744,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.537
0,4294967295,1839,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021118700.385	,2398.67,28.511,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2398.43,108118907,552.445,0.23,617.524,0.257,302.144,0.126,2218.894,0.925,0.182,0.0,17.643,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.564
0,4294967295,1840,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021121128.202	,2401.231,29.147,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2400.96,108149173,552.873,0.23,620.21,0.258,302.297,0.126,2220.221,0.925,0.182,0.0,17.649,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.487
0,4294967295,1841,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021123557.850	,2404.24,28.417,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2403.96,108283691,552.876,0.23,620.449,0.258,302.342,0.126,2222.509,0.925,0.182,0.0,17.686,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.486
0,4294967295,1842,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021125989.415	,2399.957,27.325,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2399.69,108050862,553.083,0.23,617.501,0.257,302.479,0.126,2220.826,0.925,0.182,0.0,17.661,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.45
0,4294967295,1843,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021128417.790	,2401.368,28.418,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2401.08,108094381,553.181,0.23,617.136,0.257,302.554,0.126,2222.578,0.926,0.182,0.0,17.782,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.432
0,4294967295,1844,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021130848.144	,2403.045,28.986,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2402.8,108075852,553.672,0.23,617.047,0.257,302.783,0.126,2225.144,0.926,0.182,0.0,17.661,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.347
