Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,matmul_kernel,AI_CORE,1,254,349.053,1775117018963770.007	,1775117018964119.060	
0,matmul_kernel,AI_CORE,1,255,346.949,1775117018964149.721	,1775117018964496.670	
0,matmul_kernel,AI_CORE,1,256,348.038,1775117018964529.521	,1775117018964877.559	
0,matmul_kernel,AI_CORE,1,257,348.264,1775117018964906.793	,1775117018965255.057	
0,matmul_kernel,AI_CORE,1,258,347.635,1775117018965283.358	,1775117018965630.993	
0,matmul_kernel,AI_CORE,1,259,347.481,1775117018965662.828	,1775117018966010.309	
0,matmul_kernel,AI_CORE,1,260,348.818,1775117018966041.477	,1775117018966390.295	
0,matmul_kernel,AI_CORE,1,261,347.082,1775117018966420.001	,1775117018966767.083	
0,matmul_kernel,AI_CORE,1,262,349.297,1775117018966799.772	,1775117018967149.069	
0,matmul_kernel,AI_CORE,1,263,349.147,1775117018967179.474	,1775117018967528.621	
0,matmul_kernel,AI_CORE,1,264,347.278,1775117018967559.897	,1775117018967907.175	
0,matmul_kernel,AI_CORE,1,265,348.52,1775117018967941.212	,1775117018968289.732	
0,matmul_kernel,AI_CORE,1,266,347.591,1775117018968321.169	,1775117018968668.760	
0,matmul_kernel,AI_CORE,1,267,347.689,1775117018968698.790	,1775117018969046.479	
0,matmul_kernel,AI_CORE,1,268,348.798,1775117018969076.465	,1775117018969425.263	
0,matmul_kernel,AI_CORE,1,269,346.237,1775117018969452.317	,1775117018969798.554	
0,matmul_kernel,AI_CORE,1,270,346.408,1775117018969825.458	,1775117018970171.866	
0,matmul_kernel,AI_CORE,1,271,347.416,1775117018970203.421	,1775117018970550.837	
0,matmul_kernel,AI_CORE,1,272,349.458,1775117018970579.350	,1775117018970928.808	
0,matmul_kernel,AI_CORE,1,273,348.163,1775117018970958.934	,1775117018971307.097	
0,matmul_kernel,AI_CORE,1,274,348.343,1775117018971339.365	,1775117018971687.708	
0,matmul_kernel,AI_CORE,1,275,347.699,1775117018971719.646	,1775117018972067.345	
0,matmul_kernel,AI_CORE,1,276,346.957,1775117018972098.203	,1775117018972445.160	
0,matmul_kernel,AI_CORE,1,277,350.362,1775117018972480.448	,1775117018972830.810	
0,matmul_kernel,AI_CORE,1,278,350.151,1775117018972860.951	,1775117018973211.102	
0,matmul_kernel,AI_CORE,1,279,346.276,1775117018973240.069	,1775117018973586.345	
0,matmul_kernel,AI_CORE,1,280,347.583,1775117018973613.372	,1775117018973960.955	
0,matmul_kernel,AI_CORE,1,281,348.813,1775117018973988.617	,1775117018974337.430	
0,matmul_kernel,AI_CORE,1,282,347.77,1775117018974366.274	,1775117018974714.044	
0,matmul_kernel,AI_CORE,1,283,346.241,1775117018974746.667	,1775117018975092.908	
0,matmul_kernel,AI_CORE,1,284,346.926,1775117018975121.453	,1775117018975468.379	
0,matmul_kernel,AI_CORE,1,285,347.263,1775117018975495.604	,1775117018975842.867	
0,matmul_kernel,AI_CORE,1,286,347.098,1775117018975873.338	,1775117018976220.436	
0,matmul_kernel,AI_CORE,1,287,347.29,1775117018976252.538	,1775117018976599.828	
0,matmul_kernel,AI_CORE,1,288,346.942,1775117018976629.277	,1775117018976976.219	
0,matmul_kernel,AI_CORE,1,289,349.58,1775117018977007.468	,1775117018977357.048	
0,matmul_kernel,AI_CORE,1,290,347.611,1775117018977387.542	,1775117018977735.153	
0,matmul_kernel,AI_CORE,1,291,347.905,1775117018977767.060	,1775117018978114.965	
0,matmul_kernel,AI_CORE,1,292,347.358,1775117018978146.078	,1775117018978493.436	
0,matmul_kernel,AI_CORE,1,293,347.537,1775117018978525.774	,1775117018978873.311	
0,matmul_kernel,AI_CORE,1,294,347.822,1775117018978900.963	,1775117018979248.785	
0,matmul_kernel,AI_CORE,1,295,348.004,1775117018979279.302	,1775117018979627.306	
0,matmul_kernel,AI_CORE,1,296,351.544,1775117018979656.955	,1775117018980008.499	
0,matmul_kernel,AI_CORE,1,297,348.521,1775117018980040.295	,1775117018980388.816	
0,matmul_kernel,AI_CORE,1,298,346.807,1775117018980418.498	,1775117018980765.305	
0,matmul_kernel,AI_CORE,1,299,347.216,1775117018980793.913	,1775117018981141.129	
0,matmul_kernel,AI_CORE,1,300,348.074,1775117018981169.859	,1775117018981517.933	
0,matmul_kernel,AI_CORE,1,301,348.644,1775117018981548.394	,1775117018981897.038	
0,matmul_kernel,AI_CORE,1,302,346.263,1775117018981927.315	,1775117018982273.578	
0,matmul_kernel,AI_CORE,1,303,350.077,1775117018982301.923	,1775117018982652.000	
0,matmul_kernel,AI_CORE,1,304,348.837,1775117018982684.508	,1775117018983033.345	
